PROFILE;WIDTH;DEPTH;RADIUS;UNIT
1x2;00.750;01.500;0.125;in
1x3;00.750;02.500;0.125;in
1x4;00.750;03.500;0.125;in
1x6;00.750;05.500;0.125;in
1x8;00.750;07.250;0.125;in
1x10;00.750;09.250;0.125;in
1x12;00.750;11.250;0.125;in
2x2;01.500;01.500;0.125;in
2x3;01.500;02.500;0.125;in
2x4;01.500;03.500;0.125;in
2x6;01.500;05.500;0.125;in
2x8;01.500;07.250;0.125;in
2x10;01.500;09.250;0.125;in
2x12;01.500;11.250;0.125;in
4x4;03.500;03.500;0.125;in
4x6;03.500;05.500;0.125;in
4x8;03.500;07.250;0.125;in
4x10;03.500;09.250;0.125;in
4x12;03.500;11.250;0.125;in
6x6;05.500;05.500;0.125;in
8x8;07.250;07.250;0.125;in

